Name,Current Price,Old Price,Discount
Amtec AM-808 Sub Woofer Sound System -BT/USB/FM Black. (1YR WRTY),"KSh 2,499","KSh 5,000",50%
"Vitron  HTC3200S 32"" Inches Bluetooth-Enabled Smart Android Television With Inbuilt Wi-Fi, Inbuilt Decoder Netflix,Appstore+FREE GIFTS (1 YEAR WARRANTY )","KSh 12,790","KSh 24,000",47%
"Sonar Stainless Steel 1.8Ltr Electric Kettle,1.5m Power Cord,1500W Fast Boil 1YR WRTY",KSh 483,KSh 749,36%
"Sonar 2L Cordless Electric Kettle ,1500W Energy Efficient , 1 .5m Power Cord 1YR WRTY",KSh 599,KSh 800,25%
"XIAOMI Redmi Note 14, 6.67"", 256GB + 8GB RAM (Dual SIM), 5500mAh, Midnight Black (1 YR WRTY) + Free 20000mAh Redmi 18W Fast Charge Power Bank","KSh 24,462","KSh 30,000",18%
"XIAOMI Redmi A5, 6.88"", 4GB + 128GB , 5200mAh, DUAL SIM, 4G - Midnight Black","KSh 10,299","KSh 12,600",18%
Amtec AM-308 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO,"KSh 4,045","KSh 6,500",38%
"VILLAON V101 1.77"" Kabambe, Wireless FM, Camera, Bright Touch, Facebook, 1000mAh (Dual Sim)  (1YR WRTY)",KSh 690,"KSh 1,000",31%
"Samsung Galaxy A35 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 5000mAh, Awesome Black","KSh 32,890","KSh 50,000",34%
Sonar SR-B3 Hot And Normal Standing Water Dispenser - Black (1YR WRTY),"KSh 2,500","KSh 3,000",17%
Amtec AM-309 3.1CH X-BASS Multimedia Home Theater System – 12000W PMPO,"KSh 3,999","KSh 6,500",38%
"XIAOMI Redmi A3x, 6.71"", 64GB + 3GB RAM (Dual SIM) 5000mAh, Green (2YRS WRTY)","KSh 7,999","KSh 10,500",24%
Hisense 43 Inch 43A4KKEN Smart TV (2YRs WRTY),"KSh 23,899","KSh 33,999",30%
"XIAOMI Redmi 14C, 6.88"", 128GB + 6GB RAM (Dual SIM), 5160mAh, Midnight Black (2YRS WRTY)","KSh 11,799","KSh 17,000",31%
"XIAOMI Redmi 13, 6.79"", 8GB RAM + 256GB (Dual SIM) 4G, 5030mAh - Black (2YRS WRTY)","KSh 15,899","KSh 17,000",6%
"Vitron  43""inch, Frameless Smart Android 11 TV,Bluetooth-Enabled Inbuilt Decoder+FREE TV GUARD+TILT BRACKET","KSh 20,999","KSh 40,000",48%
"Samsung Galaxy M15 5G, 6.5"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Blue Topaz","KSh 19,990","KSh 30,000",33%
"Samsung Galaxy M35 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Thunder Grey","KSh 23,395","KSh 30,000",22%
Vitron V402 2.1 Inch Bluetooth Speaker System (1YR WRTY),"KSh 2,799","KSh 3,371",17%
"Samsung Galaxy A06, 6.7"", 128GB + 4GB RAM (Dual SIM), 5000mAh, Black(2YRs WRTY)","KSh 11,935","KSh 12,366",3%
"XIAOMI Redmi 14C, 6.88"" (8GB RAM+256GB Storage) (Dual Sim) 5160mAh (2YRS WRTY)","KSh 13,899","KSh 18,065",23%
"Samsung Galaxy A05, 6.7'' 4GB RAM + 64GB ROM (Dual Sim) 50MP Camera, 5000mAh - Black","KSh 9,345","KSh 14,999",38%
"Vitron V643 3.1Ch Bluetooth Speaker System, 12V","KSh 4,799",No old price,No discount
"Vitron HTC3200S, 32"" Smart Frameless Android LED TV, With Bluetooth, (1YR WRTY)","KSh 10,599","KSh 13,846",23%
"Poco C75, 6.88"", 256GB + 8GB RAM (Dual SIM), 5160mAh, 4G - Black (2YRs WRTY)","KSh 13,999","KSh 18,900",26%
"Vitron HTC3218F - 32"" HD Frameless LED Digital TV (1YR WRTY). Black","KSh 9,780","KSh 12,528",22%
"Samsung Galaxy M35 5G, 6.6"", 128GB + 6GB RAM (Dual SIM), 6000mAh, Daybreak Blue","KSh 23,390","KSh 30,000",22%
Amtec AM-02 2.1CH Multimedia Speaker BT/USB/SD/FM (1YR WRTY),"KSh 5,199","KSh 6,607",21%
Vitron VB-Y66 - 2in1 Blender - 1.5L - 350W - Silver & Black,"KSh 1,999","KSh 2,454",19%
Amtec AMTEC-310  3.1 Bluetooth Sub-woofer 12000Watts,"KSh 4,382","KSh 7,500",42%
"Tecno Spark 30c, 6.67'' HD+, UP to 8GB RAM + 128GB ROM (Dual Sim) 50MP, 5000 mAh - Orbit Black","KSh 11,949","KSh 14,499",18%
"Infinix Hot 50i, 6.7"", 128GB + 6GB RAM, 5000 mAh (Dual Sim), Titanium Grey  (1YR  WRTY)","KSh 11,299","KSh 15,769",28%
"Itel S24, 6.6'', 128GB + 4GB (Extended UPTO 8GB) RAM, 5000mAh, Dawn White (1YR WRTY)","KSh 8,799","KSh 14,000",37%
Vision Plus 10KG Twin Tub Top Load Washing Machine (2YRS WRTY),"KSh 22,299","KSh 26,000",14%
"Hisense 43 Inch, A6 Series, 43A6HKEN, Frameless, UHD 4K, Smart TV-NETFLIX,BLUETOOTH+FREE GIFTS","KSh 31,999","KSh 70,000",54%
"XIAOMI Redmi 14C, 6.88"" (4GB RAM+128GB Storage) (Dual Sim) 5160mAh - Sage Green (2YRS WRTY)","KSh 10,999","KSh 15,000",27%
"Amtec AM-731 3.1CH Sub Woofer Bluetooth System-FM,USB,SD-20000W (1YR WRTY)","KSh 6,599","KSh 8,764",25%
"XIAOMI Redmi A5, 6.88"", 3GB + 64GB , 5200mAh, DUAL SIM, 4G - Midnight Black","KSh 8,698","KSh 11,200",22%
WK 02 CH Multimedia Speaker 10000watts (1YR WRTY),"KSh 5,199","KSh 6,607",21%
Chrome Chrome Gin - 750ml,KSh 629,KSh 760,17%
